Stock name,Symbol,Link
International Gemmological Institute (India) Ltd,IGIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IGIL"""
Indraprastha Gas Limited,IGL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IGL"""
Ig Petrochemicals Limited,IGPL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IGPL"""
Iifl Holdings Limited,IIFL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IIFL"""
IIFL Capital Services Ltd,IIFLCAPS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IIFLCAPS"""
Industrial Investment Trust Limited,IITL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IITL"""
IKIO Lighting Ltd,IKIO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IKIO"""
Inventurus Knowledge Solutions Ltd,IKS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IKS"""
Il&fs Engineering And Construction Company Limited,IL&FSENGG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IL&FSENGG"""
Il&fs Transportation Networks Limited,IL&FSTRANS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IL&FSTRANS"""
Imagicaaworld Entertainment Ltd,IMAGICAA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IMAGICAA"""
Indian Metals & Ferro Alloys Limited,IMFA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IMFA"""
India Motor Parts And Accessories Limited,IMPAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IMPAL"""
Impex Ferro Tech Limited,IMPEXFERRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IMPEXFERRO"""
Incredible Industries Ltd,INCREDIBLE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INCREDIBLE"""
Indbank Merchant Banking Services Limited,INDBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDBANK"""
